Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Thu Nov 14 2019,8:00p,Bulls,115,Bucks,124,Box Score,,17627,
Thu Nov 14 2019,8:00p,Clippers,127,Pelicans,132,Box Score,,17147,
Thu Nov 14 2019,8:00p,Mavericks,103,Knicks,106,Box Score,,19812,
Thu Nov 14 2019,9:00p,Hawks,112,Suns,128,Box Score,,15143,
Thu Nov 14 2019,10:30p,Nets,93,Nuggets,101,Box Score,,18394,
Fri Nov 15 2019,7:00p,Pistons,106,Hornets,109,Box Score,,16778,
Fri Nov 15 2019,7:00p,Spurs,109,Magic,111,Box Score,,16296,
Fri Nov 15 2019,8:00p,Pacers,102,Rockets,111,Box Score,,18055,
Fri Nov 15 2019,8:00p,Jazz,106,Grizzlies,107,Box Score,,16422,
Fri Nov 15 2019,8:00p,Wizards,137,Timberwolves,116,Box Score,,12716,
Fri Nov 15 2019,8:00p,Sixers,119,Thunder,127,Box Score,OT,18203,
Fri Nov 15 2019,10:30p,Celtics,105,Warriors,100,Box Score,,18064,
Fri Nov 15 2019,10:30p,Kings,97,Lakers,99,Box Score,,18997,
Sat Nov 16 2019,6:00p,Nets,117,Bulls,111,Box Score,,19148,
Sat Nov 16 2019,7:00p,Bucks,102,Pacers,83,Box Score,,17024,
Sat Nov 16 2019,7:30p,Hornets,103,Knicks,102,Box Score,,19401,
Sat Nov 16 2019,8:00p,Pelicans,94,Heat,109,Box Score,,19600,
Sat Nov 16 2019,8:00p,Rockets,125,Timberwolves,105,Box Score,,18978,
Sat Nov 16 2019,8:30p,Raptors,102,Mavericks,110,Box Score,,19926,
Sat Nov 16 2019,8:30p,Blazers,121,Spurs,116,Box Score,,18534,
Sat Nov 16 2019,10:30p,Hawks,101,Clippers,150,Box Score,,19068,
Sun Nov 17 2019,3:00p,Sixers,114,Cavaliers,95,Box Score,,19432,
Sun Nov 17 2019,3:30p,Celtics,99,Kings,100,Box Score,,16633,
Sun Nov 17 2019,6:00p,Nuggets,131,Grizzlies,114,Box Score,,14227,
Sun Nov 17 2019,6:00p,Wizards,121,Magic,125,Box Score,,16344,
Sun Nov 17 2019,7:00p,Warriors,100,Pelicans,108,Box Score,,16812,
Sun Nov 17 2019,9:30p,Hawks,101,Lakers,122,Box Score,,18997,
Mon Nov 18 2019,7:00p,Cavaliers,105,Knicks,123,Box Score,,17097,
Mon Nov 18 2019,7:30p,Pacers,115,Nets,86,Box Score,,14140,
